Issue key,Summary,Priority,consequence,rolling upgrade?,"consequence category: 1) whole cluster down, 2) master down, 3) performance degradation, 4) data loss & data corruption, 5) rolling upgrade failure (a cluster with mixed versions fail certain functionality or part of the cluster, but functionality could restore after every node is upgraded), 6) incorrect service result, 7) part of cluster down (clients down, secondary master down), 8) unknown (todo, revisit all system state corruption / unknown)",catastrophic (yes/no)? (We classify a failure to be catastrophic when it prevents all or a majority of the users from their normal access to the system),created after buggy release? (production bug?),"root cause (they can be complicated, we use google doc to explain each case's root cause)","root cause category: 1) data-related bug, including 1.1) data format incompatibility (parsing error), 1.2) data related logic error in full-stop upgrade (not parsing error), 1.3) data related logic error in a mixed cluster (not parsing error, but unexpected interaction between nodes running different versions), 2) data-unrelated bug or logic error in upgrade operation itself, 3) misconfiguration (not failure-inducing configuration change), 4) broken dependency (not upgrading a lib brokes depdency, but upgrading the target system itself breaks dependency)",persistant (P) or runtime (R) data format compatibility?,comments on the consequence & cause of the case,caught in upgrade test case? (yes/no),related to changed constant or on-disk dir structure?,rolling upgrade?,version gap,check upgrade operation caught-after-release,version gap delta,minimum # of nodes / slaves (by guess),buggy version release (earliest release of the affected versions) ,Created,created after buggy release? (production bug?),"does the bug exist on a release version? (x.x.x-alpha, x.x.x-beta, x.x.x-RC1 are not release versions)","how to detect: 1) clear symptom (exception, crash, service stop/irresponsive - all those easy to detect symptoms), 2) data loss/corruption (can be detected by read & compare), 3) gray failure (performance degradation, flaky I/O, some observer considers it failure but others don't - i.e., there's no objective criteria), 4) not clear",comments on detection of this case,detailed reproduction steps (in google docs),is upgrade (or rolling upgrade) + normal read/write/delete enough to trigger the root cause?,"category of reproduction: 1) upgrade (or rolling upgrade), 2) upgrade + any data on old system (data created by trivial write/read in workload generator), 3) special data format (requires special constraint on the operations to generate a corner case data format, e.g., special parameter, a special combination of write/read/delete), 4) special operation (any op other than write/read, not covered by workload generator, including a some operation with a special parameter or config), 5) special configuration (non-default configuration), 6) special timing constraint, 7) not clear how to reproduce","for categories 3 to 6, do unit test or stress test help?","if 1) upgrade and 2) upgrade + any data CANNOT reproduce the failure, can unit tests be combined to reproduce the failure?",comments on reproduction of this case,"how to mitigate? 1) wait for the upgrade to finish on the entire cluster, 2) downgrade, 3) rollback, 4) deploy the fixed new version, 5) manual intervention, 6) perminant damage",comments on mitigation of this case,,is upgrade (or rolling upgrade) + normal read/write/delete enough to trigger the root cause?,is upgrade + stress testing enough to trigger the root cause?,commes on how to trigger,is rolling upgrade + stress testing enough to trigger the root cause?,does it need special operation? (this is same as the left column),what needs to be done to trigger the root cause? (this is split into the rightside 5 columns),does it need read/write/delete with special arguments to trigger the root cause?,does it need special timing constraints to trigger the root cause? ,does it need operations other than read/write/delete and upgrade to trigger the root cause? (write down the number),"if normal read/write/delete is not enough and no timing constraint is required, are the special operations or arguments required covered in existing unit tests?","needs extra stuff to trigger the symptom (even though the root cause is already triggered, e.g., large schema + large cluster to trigger performance slowdowm symptom)?","does it need special config? (including special configuration for entire cluster or multi node,  special configuration for single node)","does a restart or full-stop upgrade mitigate the problem? (e.g., data loss or corruption would need more operations to mitigate than network message unrecognized) (1. restart, 2. patch and restart, 3. manual operations to restore the system state, 4. rollback + abort upgrade)",does downgrade mitigate the problem?,does roll back mitigate the problem?,Can tests be combined to test the special config?,Did the tests exist when the bug was reported?,How many tests need to be combined?
HBASE-6316,Confirm can upgrade to 0.96 from 0.94 by just stopping and restarting,Blocker,new version cluster cannot start,no,1) whole cluster down,yes,no,,1.1) data format incompatibility,P,,,"no (data format error, old data parsed incorrectly by new version)",no,0.94->0.96,,2 minor,1,2013-10-19,03/Jul/12 14:07,no,,1) clear symptom,,,yes,2) upgrade + any data on old system,,,,,,,yes,yes,,,no,normal write,,no,,,,no,no (patch and restart),,,,,
CASSANDRA-1545,NullPointerException on startup after upgrade,Urgent,new version cluster cannot start,no,1) whole cluster down,yes,no,,1.1) data format incompatibility,P,,,changed constant (new constants),no,0.7-beta1->0.7-beta2,,< 1 minor,1,2011-01-10,24/Sep/10 19:33,no,,1) clear symptom,,,yes,2) upgrade + any data on old system (Some specific strategies are required. Stress testing can generate such data.),,,,,,,yes,not sure,,,no,normal write,,no,,,,no,no (patch and restart),,,,,
CASSANDRA-10743,Failed upgradesstables (upgrade from 2.2.2 to 3.0.0),Normal,new version cluster cannot function,no,1) whole cluster down,yes,yes,,1.1) data format incompatibility,P,,,on-disk dir structure,no,2.2.2->3.0.0,,1 major,1,2015-11-09,20/Nov/15 17:16,yes,,1) clear symptom,,,no,3) special data format (a sstable index block finish in the middle of a collection tombstone),not clear,,,,,,yes,no,this involves creating a tricky data format,,no,normal write,,no,,,,no,no (patch and restart),,,,,
CASSANDRA-6733,Upgrade of 1.2.11 to 2.0.5 make IllegalArgumentException in Buffer.limit on read of a super column family,Normal,cannot read super column family data,no,6) incorrect service result,yes (read on super column family all fail),yes,,1.1) data format incompatibility,P,,,looks like changed data format,no,1.2.11->2.0.5,,1 major,1,2014-02-07,19/Feb/14 14:18,yes,,1) clear symptom,,,no,3) special data format (super column family),unit test help,,,,,,yes,yes,"seems yes, not sure if it has to involve 3 versions",,no (create super column family - should be tested),normal write,,no,,,,no,no (patch and restart),,,,,
CASSANDRA-13441,"Schema version changes for each upgraded node in a rolling upgrade, causing migration storms",Normal,migration storm,yes,3) performance degradation,yes,yes,,2) data-unrelated bug or logic error in upgrade operation itself,N/A,"interesting, storm",,looks like updating old tables with new version unnecessarily,yes,"N/A (3.0->3.11, 2.1/2.2->3.0)","yes (old result correct, compared against the new version release time)",N/A,"2 (2 nodes can reproduce the cause, but the symptom may not be as bad)",2015-11-09,12/Apr/17 18:23,yes,,3) gray failure,,,yes,1) upgrade,,,,,,,yes,,"has to involve rolling upgrade, triggers storm",yes,no,normal write to trigger the root cause (sufficiently large cluster with a non-trivial schema to trigger the symptom),,no,,,"yes, needs sufficiently large cluster with a non-trivial schema to trigger the symptom",no,no (patch and restart). Full-stop upgrade should mitigate the problem (assuming all nodes upgrade first before trying to update their schema),,,,,
CASSANDRA-6678,Unwanted schema pull while upgrading nodes from 1.2 to 2.0,Normal,"schema corruption, data corruption",yes,4) data corruption?,no,yes,,1.2) data related logic error in rolling upgrade,R (network),,,changed constant (version number),yes,1.2->2.0,,1 major,2,2013-01-02,07/Feb/14 13:33,yes,,3) gray failure (if no exception got thrown),,,yes,1) upgrade + 6) special timing,,,,,,,yes,"no,  race condition",seems like unexpected interaction,,no,normal write,,yes,,,,no,no (patch and restart). Full-stop upgrade should mitigate the problem (assuming all nodes upgrade first before trying to update their schema),,,,,
CASSANDRA-9116,Indexes lost on upgrading to 2.1.4,Urgent,data loss,no,4) data loss,yes,yes,,1.1) data format incompatibility,P (dir structure),,,on-disk dir structure,no,2.0.12->2.1.4,,1 minor,1,2015-04-01,03/Apr/15 20:57,yes,,2) data loss,,,no,3) special data format (index),unit test help,,,,,,yes,yes,disk structure change,,no,normal write,,no,,,,no,no (patch and restart),,,,,
HDFS-7302,namenode -rollingUpgrade downgrade may finalize a rolling upgrade,Major,incorrectly finalize rolling upgrade (leave system in a wrong state),yes,"8) unknown, system state corruption",yes (upgrade fails),N/A,,2) data-unrelated bug or logic error in upgrade operation itself,N/A,"interesting, downgrade involved",,N/A,yes,N/A,"N/A (old result correct, report did not specify error version)",N/A,2,N/A (cannot find affected version anywhere),28/Oct/14 20:08,N/A,,3) gray failure,,,no,4) special operation (downgrade) + 6) special timing constraint,"yes (they actually has upgrade tests using MiniCluster, they tested downgrade)",,,,,,no,"no, downgrade op",,,yes (rolling upgrade + downgrade),normal write,,yes (need to downgrade while upgrade is in progress),,,,no,yes,,,,,
HDFS-9752,Permanent write failures may happen to slow writers during datanode rolling upgrades,Critical,write failure during rolling upgrade,yes,6) incorrect service result,no,N/A,,2) data-unrelated bug or logic error in upgrade operation itself,N/A,,,N/A,yes,N/A,"N/A (old result correct, report did not specify error version)",N/A,2,N/A (cannot find affected version anywhere),03/Feb/16 22:11,N/A,,1) clear symptom,,,yes,"1) upgrade + 6) special timing (if the client is holding the stream open without writing any data during rolling upgrade, a permanent write failure can occur.",,,,,,,yes,no,need special timing,,no,normal write,,yes (client needs to hold stream open while datanodes in pipeline are being upgraded),,,,no,simply retry the write would help!,,,,,
CASSANDRA-6598,upgradesstables does not upgrade indexes causing startup error.,Normal,"upgrade fails, cluster crash",no,1) whole cluster down,yes,yes,,1.1) data format incompatibility (across 3 versions),P,"interesting, 3 versions, special parameter: don't specify ks/cf",,"no, different file formats",no,1.1.12->1.2.13->2.0,,1 major,1,2013-09-03,16/Jan/14 18:16,yes,,1) clear symptom,,,no (need multiple upgrades),4) special operation (multiple consecutive upgrade),,,,,,,no (need multiple upgrades),,,,yes (consecutive upgrades),consecutive upgrades,,no,,"no, consecutive upgrades",,no,"yes (wait for the first upgrade to fully finish - upgradesstables). no (need to upgrade to patched 1.2, then 2.0)",,,,,
